"nExp","cDis","nDis","cBar","nBar","cCar","nCar","dSet","nMes","mes","dia","hora","torn","causa","morts","lesLl","lesGr","vict","vehi","UTMX","UTMY","long","lat","nPos","dTVehImp","sexe","edat","dTPers","dLlAtrVia","dMotDesVia","dMotDespCon","dVict","accbici"
"2022S000099    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",70607,"Provença / Casanova                               ","Divendres",1,"Gener",7,22,"Nit","No és causa del  vianant",0,0,1,1,2,429361.23,4582493.6,2.15396869534848,41.3890275066726,"0146 0146","Bicicleta","Dona",42,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit greu: hospitalització superior a 24h",1
"2022S000100    ",6,"Gràcia",31,"la Vila de Gràcia",31300,"Bailèn                                            ","Dissabte",1,"Gener",8,1,"Nit","No és causa del  vianant",0,1,0,1,2,430116.58,4584033.43,2.16282460386495,41.4029622759278,"0223 0223","Bicicleta","Home",44,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Hospitalització fins a 24h",1
"2022S000108    ",2,"Eixample",10,"Sant Antoni",54509,"Calàbria / Tamarit                                ","Dissabte",1,"Gener",8,18,"Tarda","No és causa del  vianant",0,1,0,1,1,429741.9,4581146.32,2.15867775331601,41.3769263645507,"0037 0037","Bicicleta","Dona",60,"Vianant","En pas regulat per semàfor                                                                                                                            ","Oci i entreteniment","Desconegut","Ferit lleu: Hospitalització fins a 24h",1
"2022S000117    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes                                   ","Diumenge",1,"Gener",9,14,"Tarda","No és causa del  vianant",0,2,0,2,1,432785.02,4584779.01,2.19466253900014,41.4099052334259,"0933 0941","Bicicleta","Home",36,"Conductor","En zona peatonal                                                                                                                                      ","Desconegut","Altres activitats","Ferit lleu: Hospitalització fins a 24h",1
"2022S000117    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes                                   ","Diumenge",1,"Gener",9,14,"Tarda","No és causa del  vianant",0,2,0,2,1,432785.02,4584779.01,2.19466253900014,41.4099052334259,"0933 0941","Bicicleta","Home",79,"Vianant","En zona peatonal                                                                                                                                      ","Desconegut","Desconegut","Ferit lleu: Hospitalització fins a 24h",1
"2022S000125    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",110009,"Ramon Turró / Joan Miró                           ","Dilluns",1,"Gener",10,13,"Matí","No és causa del  vianant",0,1,0,1,2,432595.71,4582811.33,2.1926169879054,41.3921670175739,"0031B0031B","Bicicleta","Home",22,"Conductor","Desconegut                                                                                                                                            ","Desconegut","En missió","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S000128    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes                                   ","Dilluns",1,"Gener",10,13,"Matí","No és causa del  vianant",0,1,0,1,1,430973.07,4582896.51,2.17319992782164,41.3927964556178,"0686 0686","Bicicleta","Dona",52,"Vianant","A la vorera / Andana                                                                                                                                  ","Es desconeix","Desconegut","Ferit lleu: Hospitalització fins a 24h",1
"2022S000137    ",2,"Eixample",7,"la Dreta de l'Eixample",18505,"Aragó                                             ","Dilluns",1,"Gener",10,15,"Tarda","No és causa del  vianant",0,1,0,1,2,430109.98,4582647.64,2.16290574622443,41.3904803591516,"0252 0252","Bicicleta","Home",31,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Hospitalització fins a 24h",1
"2022S000143    ",10,"Sant Martí",71,"Provençals del Poblenou",42306,"Bilbao / Corts Catalanes                          ","Dimarts",1,"Gener",11,8,"Matí","No és causa del  vianant",0,1,0,1,2,432800.78,4584710.49,2.19485870238781,41.409289412341,"0170 0174","Bicicleta","Dona",40,"Conductor","Desconegut                                                                                                                                            ","Desconegut","In itínere","Ferit lleu: Hospitalització fins a 24h",1
"2022S000177    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",268003,"Provença / Dos de Maig                            ","Dijous",1,"Gener",13,12,"Matí","No és causa del  vianant",0,1,0,1,2,431559.94,4584643.69,2.18002146637809,41.4085829744794,"0550 0550","Bicicleta","Dona",20,"Conductor","Desconegut                                                                                                                                            ","Desconegut","In itínere","Ferit lleu: Hospitalització fins a 24h",1
"2022S000185    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",54509,"Calàbria / Consell de Cent                        ","Dijous",1,"Gener",13,20,"Tarda","No és causa del  vianant",0,1,0,1,2,429254.77,4581645.09,2.15279463079942,41.3813759035559,"0137 0137","Bicicleta","Dona",53,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S000187    ",2,"Eixample",7,"la Dreta de l'Eixample",49509,"Aragó / Bruc                                      ","Dijous",1,"Gener",13,20,"Tarda","No és causa del  vianant",0,1,0,1,2,430594.16,4583143.18,2.16863970240656,41.3949854940606,"0083 0083","Bicicleta","Home",23,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Hospitalització fins a 24h",1
"2022S000211    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes                                   ","Divendres",1,"Gener",14,20,"Tarda","No és causa del  vianant",0,1,0,1,2,430335.3,4582343.66,2.16563556410422,41.3877620730544,"0587 0589","Bicicleta","Home",19,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Hospitalització fins a 24h",1
"2022S000214    ",9,"Sant Andreu",60,"Sant Andreu",301109,"Castellbell / Coroleu                             ","Divendres",1,"Gener",14,21,"Tarda","No és causa del  vianant",0,1,0,1,2,432072.08,4587353.64,2.18584373409701,41.4330341014768,"0012 0012","Bicicleta","Dona",30,"Conductor","Desconegut                                                                                                                                            ","Desconegut","In itínere","Ferit lleu: Hospitalització fins a 24h",1
"2022S000242    ",2,"Eixample",5,"el Fort Pienc",197302,"Meridiana / Marina                                ","Diumenge",1,"Gener",16,14,"Tarda","No és causa del  vianant",0,1,0,1,2,432118.05,4583103.43,2.1868712220911,41.3947576706248,"0031 0031","Bicicleta","Home",51,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S000257    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",209900,"Meridiana / Sancho de Ávila                       ","Dilluns",1,"Gener",17,8,"Matí","No és causa del  vianant",0,2,0,2,2,432129.81,4583314.56,2.18698819633459,41.3966602526229,"0042 0042","Bicicleta","Home",21,"Conductor","Desconegut                                                                                                                                            ","Desconegut","In itínere","Ferit lleu: Hospitalització fins a 24h",1
"2022S000277    ",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",90502,"Sant Joan / Còrsega                               ","Dimarts",1,"Gener",18,7,"Matí","No és causa del  vianant",0,1,0,1,2,430411.16,4583904.05,2.1663633416467,41.4018225686843,"0439 0441","Bicicleta","Home",41,"Conductor","Desconegut                                                                                                                                            ","Desconegut","En missió","Ferit lleu: Hospitalització fins a 24h",1
"2022S000318    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia                                            ","Dimecres",1,"Gener",19,20,"Tarda","No és causa del  vianant",0,2,0,2,1,429958.79,4583136.89,2.16104088419395,41.39487370651,"0093 0093","Bicicleta","Dona",16,"Vianant","En zona peatonal                                                                                                                                      ","In itinere","Desconegut","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S000318    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia                                            ","Dimecres",1,"Gener",19,20,"Tarda","No és causa del  vianant",0,2,0,2,1,429958.79,4583136.89,2.16104088419395,41.39487370651,"0093 0093","Bicicleta","Home",8,"Conductor","En zona peatonal                                                                                                                                      ","Desconegut","Oci i entreteniment","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S000323    ",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",228803,"Nogués / Taxdirt                                  ","Dijous",1,"Gener",20,9,"Matí","No és causa del  vianant",0,1,0,1,2,430339.96,4584675.2,2.16542280879233,41.4087618793916,"0054 0054","Bicicleta","Dona",26,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S000325    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",349706,"Comte d'Urgell / Londres                          ","Dijous",1,"Gener",20,10,"Matí","No és causa del  vianant",0,1,1,2,4,428792.93,4582690.14,2.1471488817223,41.3907475184512,"0262 0262","Bicicleta","Home",52,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit greu: hospitalització superior a 24h",1
"2022S000334    ",4,"Les Corts",19,"les Corts",231502,"Numància                                          ","Dijous",1,"Gener",20,13,"Matí","No és causa del  vianant",0,1,0,1,2,427690.89,4582435.93,2.13399889465254,41.3883595438406,"0138 0148","Bicicleta","Home",41,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S000338    ",3,"Sants-Montjuïc",15,"Hostafrancs",331507,"Tarragona                                         ","Dijous",1,"Gener",20,13,"Matí","No és causa del  vianant",0,1,0,1,2,428525.15,4581452.65,2.14409235091527,41.379578123388,"0183 0183","Bicicleta","Home",30,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S000364    ",7,"Horta-Guinardó",33,"el Baix Guinardó",76807,"Sardenya / Providència                            ","Dissabte",1,"Gener",22,10,"Matí","Desobeir el senyal del semàfor",0,1,0,1,1,430217.78,4584868.03,2.16393886981686,41.4104880234892,"0494 0494","Bicicleta","Home",8,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Altres activitats","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S000364    ",7,"Horta-Guinardó",33,"el Baix Guinardó",76807,"Sardenya / Providència                            ","Dissabte",1,"Gener",22,10,"Matí","Desobeir el senyal del semàfor",0,1,0,1,1,430217.78,4584868.03,2.16393886981686,41.4104880234892,"0494 0494","Bicicleta","Home",8,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Altres activitats","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S000364    ",7,"Horta-Guinardó",33,"el Baix Guinardó",76807,"Sardenya / Providència                            ","Dissabte",1,"Gener",22,10,"Matí","Altres",0,1,0,1,1,430217.78,4584868.03,2.16393886981686,41.4104880234892,"0494 0494","Bicicleta","Home",8,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Altres activitats","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S000364    ",7,"Horta-Guinardó",33,"el Baix Guinardó",76807,"Sardenya / Providència                            ","Dissabte",1,"Gener",22,10,"Matí","Altres",0,1,0,1,1,430217.78,4584868.03,2.16393886981686,41.4104880234892,"0494 0494","Bicicleta","Home",8,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Altres activitats","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S000379    ",6,"Gràcia",31,"la Vila de Gràcia",208001,"Torrent de l'Olla                                 ","Diumenge",1,"Gener",23,1,"Nit","No és causa del  vianant",0,1,0,1,2,429864.12,4583706.47,2.1598425217763,41.3999954585722,"0039 0041","Bicicleta","Home",22,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S000389    ",2,"Eixample",7,"la Dreta de l'Eixample",289105,"Girona / Rosselló                                 ","Diumenge",1,"Gener",23,20,"Tarda","No és causa del  vianant",0,1,0,1,1,430314.8,4583622.34,2.16524313104931,41.3992769484902,"0278 0278","Bicicleta","Home",65,"Vianant","En pas regulat per semàfor                                                                                                                            ","Oci i entreteniment","Desconegut","Ferit lleu: Hospitalització fins a 24h",1
"2022S000396    ",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",191703,"Mandri / Cerignola                                ","Diumenge",1,"Gener",23,20,"Tarda","No és causa del  vianant",0,1,0,1,2,427763.33,4584001.29,2.1346783500048,41.4024646274765,"0017 0017","Bicicleta","Home",9,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S000417    ",9,"Sant Andreu",63,"Navas",169908,"Felip II / Josep Estivill                         ","Dilluns",1,"Gener",24,16,"Tarda","No és causa del  vianant",0,1,0,1,2,432327.94,4585764.31,2.1890838830888,41.418741141006,"0039 0039","Bicicleta","Home",34,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S000418    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",28000,"Augusta                                           ","Dilluns",1,"Gener",24,21,"Tarda","No és causa del  vianant",0,1,0,1,1,429388.26,4583413.38,2.15418463144182,41.3973140167749,"0025 0027","Bicicleta","Dona",32,"Vianant","En zona peatonal                                                                                                                                      ","Desconegut","Desconegut","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S000521    ",2,"Eixample",5,"el Fort Pienc",169409,"Corts Catalanes                                   ","Divendres",1,"Gener",28,20,"Tarda","No és causa del  vianant",0,1,0,1,2,431572.1,4583554.58,2.1802901739041,41.3987747334338,"0737 0739","Bicicleta","Home",16,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S000527    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",143904,"Ganduxer / General Mitre                          ","Dissabte",1,"Gener",29,6,"Matí","No és causa del  vianant",0,1,0,1,2,427714.85,4583654.89,2.13413982401984,41.3993403841381,"0084 0084","Bicicleta","Home",44,"Conductor","Desconegut                                                                                                                                            ","Desconegut","In itínere","Ferit lleu: Hospitalització fins a 24h",1
"2022S000537    ",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",160007,"Església                                          ","Dissabte",1,"Gener",29,11,"Matí","No és causa del  vianant",0,1,0,1,2,425252.56,4585269.85,2.10448761869911,41.4136602187036,"0007 0007","Bicicleta","Home",51,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Hospitalització fins a 24h",1
"2022S000573    ",2,"Eixample",7,"la Dreta de l'Eixample",268003,"Provença / Catalunya                              ","Dimarts",2,"Febrer",1,11,"Matí","Desobeir el senyal del semàfor",0,1,0,1,1,429868.7,4582996.42,2.15997961827233,41.3936006826635,"0274 0274","Bicicleta","Dona",20,"Conductor","En pas regulat per semàfor                                                                                                                            ","Desconegut","En missió","Ferit lleu: Hospitalització fins a 24h",1
"2022S000588    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",18505,"Aragó                                             ","Dimarts",2,"Febrer",1,17,"Tarda","No és causa del  vianant",0,1,0,1,2,429794.29,4582338.88,2.15916591508307,41.3876719433124,"0208 0210","Bicicleta","Dona",47,"Conductor","Desconegut                                                                                                                                            ","Desconegut","In itínere","Ferit lleu: Hospitalització fins a 24h",1
"2022S000592    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",28000,"Augusta / Granada del Penedès                     ","Dimarts",2,"Febrer",1,15,"Tarda","No és causa del  vianant",0,1,0,1,2,429378.61,4583452.96,2.15406458521225,41.3976696514334,"0033 0033","Bicicleta","Dona",50,"Conductor","Desconegut                                                                                                                                            ","Desconegut","In itínere","Ferit lleu: Hospitalització fins a 24h",1
"2022S000622    ",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",193006,"Manuel Arnús                                      ","Diumenge",1,"Gener",30,15,"Tarda","No és causa del  vianant",0,1,0,1,1,427559.2,4585625.01,2.13204197918491,41.4170703928221,"0001 0001","Bicicleta","Dona",11,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S000623    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",175900,"Laforja / Regàs                                   ","Dimecres",2,"Febrer",2,17,"Tarda","Creuar per fora pas de vianants",0,1,0,1,1,429081.06,4583682.09,2.15047864518364,41.3997071304423,"0011 0011","Bicicleta","Dona",81,"Vianant","Fora del pas                                                                                                                                          ","Desconegut","Desconegut","Ferit lleu: Hospitalització fins a 24h",1
"2022S000624    ",7,"Horta-Guinardó",43,"Horta",122303,"Feliu i Codina                                    ","Dimecres",2,"Febrer",2,17,"Tarda","No és causa del  vianant",0,1,0,1,2,430004.88,4587435.18,2.16109441142847,41.4335908367682,"0027 0035","Bicicleta","Home",14,"Conductor","Desconegut                                                                                                                                            ","Desconegut","En missió","Ferit lleu: Hospitalització fins a 24h",1
"2022S000644    ",7,"Horta-Guinardó",35,"el Guinardó",194406,"Maragall                                          ","Dijous",2,"Febrer",3,12,"Matí","No és causa del  vianant",0,1,0,1,2,431460.77,4586232.89,2.17865483962337,41.4228879149281,"0135 0143","Bicicleta","Home",34,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Hospitalització fins a 24h",1
"2022S000671    ",2,"Eixample",7,"la Dreta de l'Eixample",305100,"Diagonal / Sant Joan                              ","Divendres",2,"Febrer",4,12,"Matí","No és causa del  vianant",0,1,0,1,2,430706.95,4583601.64,2.16993625299662,41.3991244308633,"0097 0097","Bicicleta","Home",33,"Conductor","Desconegut                                                                                                                                            ","Desconegut","In itínere","Ferit lleu: Rebutja assistència sanitària",1
"2022S000688    ",-1,"Desconegut",-1,"Desconegut",-1,"Provença / Marina                                 ","Divendres",2,"Febrer",4,23,"Nit","No és causa del  vianant",0,1,0,1,2,431089.2,4584191.65,2.17444135415651,41.4044713426411,"Desconegut","Bicicleta","Home",27,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S000704    ",2,"Eixample",7,"la Dreta de l'Eixample",144601,"Diagonal / Augusta                                ","Dissabte",2,"Febrer",5,19,"Tarda","No és causa del  vianant",0,1,0,1,2,429514.18,4583218.13,2.15571353667402,41.3955665262035,"0407 0407","Bicicleta","Home",40,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S000706    ",2,"Eixample",7,"la Dreta de l'Eixample",145003,"Girona                                            ","Dissabte",2,"Febrer",5,22,"Nit","No és causa del  vianant",0,2,0,2,2,430452.08,4583465.6,2.16690324235615,41.397877139554,"0131 0131","Bicicleta","Home",14,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Transport professional de mercaderies","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S000706    ",2,"Eixample",7,"la Dreta de l'Eixample",145003,"Girona                                            ","Dissabte",2,"Febrer",5,22,"Nit","No és causa del  vianant",0,2,0,2,2,430452.08,4583465.6,2.16690324235615,41.397877139554,"0131 0131","Bicicleta","Dona",18,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S000710    ",3,"Sants-Montjuïc",11,"el Poble-sec",198804,"Paral·lel                                         ","Diumenge",2,"Febrer",6,7,"Matí","No és causa del  vianant",0,2,0,2,2,430086.01,4580949.24,2.16281520261354,41.3751813223061,"0103 0103","Bicicleta","Home",51,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S000765    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia                                            ","Dimarts",2,"Febrer",8,22,"Nit","No és causa del  vianant",0,1,0,1,2,430056.1,4583030.32,2.16221710877289,41.3939223430932,"0075 0075","Bicicleta","Dona",32,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S000780    ",6,"Gràcia",31,"la Vila de Gràcia",171604,"Joan Blanques                                     ","Dimecres",2,"Febrer",9,15,"Tarda","No és causa del  vianant",0,1,0,1,1,430018.38,4584143.48,2.16163717355204,41.4039449082199,"0003 0003","Bicicleta","Dona",50,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S000785    ",2,"Eixample",7,"la Dreta de l'Eixample",335100,"Tetuan                                            ","Dimecres",2,"Febrer",9,19,"Tarda","No és causa del  vianant",0,1,0,1,2,431090.51,4583090.09,2.17458251686125,41.3945500514959,"0014 0014","Bicicleta","Home",42,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Hospitalització fins a 24h",1
"2022S000798    ",2,"Eixample",7,"la Dreta de l'Eixample",350308,"València                                          ","Dijous",2,"Febrer",10,11,"Matí","No és causa del  vianant",0,1,0,1,1,430763.78,4583483.05,2.17062960414335,41.3980612288498,"0355 0355","Bicicleta","Home",47,"Conductor","En pas regulat per semàfor                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S000807    ",1,"Ciutat Vella",1,"el Raval",250904,"Pelai                                             ","Dimecres",2,"Febrer",9,21,"Tarda","No és causa del  vianant",0,1,0,1,2,430643.28,4582079.93,2.16934907427295,41.3854133753578,"0058 0058","Bicicleta","Home",31,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S000838    ",1,"Ciutat Vella",2,"el Barri Gòtic",701266,"Colom                                             ","Dissabte",2,"Febrer",12,8,"Matí","No és causa del  vianant",0,2,0,2,2,431490.89,4581299.46,2.17957405092968,41.3784565937352,"001050000","Bicicleta","Home",45,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Activitat esportiva particular","Ferit lleu: Hospitalització fins a 24h",1
"2022S000838    ",1,"Ciutat Vella",2,"el Barri Gòtic",701266,"Colom                                             ","Dissabte",2,"Febrer",12,8,"Matí","No és causa del  vianant",0,2,0,2,2,431490.89,4581299.46,2.17957405092968,41.3784565937352,"001050000","Bicicleta","Dona",34,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Altres activitats","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
